,start,end,activity
5858,1388004660,1388005680,inactive
5859,1388004420,1388004660,light_activity
5860,1388004060,1388004420,inactive
5861,1388003760,1388004060,light_activity
5862,1388003460,1388003760,inactive
5863,1388003100,1388003460,light_activity
5864,1388002620,1388003100,inactive
5865,1388002260,1388002620,light_activity
5866,1388001960,1388002260,inactive
5867,1388001420,1388001960,light_activity
5868,1388001240,1388001420,inactive
5869,1388001060,1388001240,light_activity
5870,1388000880,1388001060,inactive
5871,1388000700,1388000880,light_activity
5872,1387999980,1388000700,inactive
5873,1387999680,1387999980,light_activity
5874,1387999500,1387999680,inactive
5875,1387999020,1387999500,light_activity
5876,1387998840,1387999020,inactive
5877,1387998780,1387998840,light_activity
5878,1387998480,1387998780,inactive
5879,1387998120,1387998480,light_activity
5880,1387997400,1387998120,inactive
5881,1387996980,1387997400,light_activity
5882,1387996380,1387996980,inactive
5883,1387996260,1387996380,light_activity
5884,1387995960,1387996260,inactive
5885,1387995900,1387995960,light_activity
5886,1387995480,1387995900,inactive
5887,1387995240,1387995480,light_activity
5888,1387994280,1387995240,inactive
5889,1387994040,1387994280,light_activity
5890,1387993860,1387994040,inactive
5891,1387993800,1387993860,light_activity
5892,1387993380,1387993800,inactive
5893,1387993020,1387993380,light_activity
5894,1387992540,1387993020,inactive
5895,1387992360,1387992540,light_activity
5896,1387992180,1387992360,inactive
5897,1387991760,1387992180,light_activity
5898,1387991460,1387991760,inactive
5899,1387991400,1387991460,light_activity
5900,1387991160,1387991400,inactive
5901,1387990920,1387991160,light_activity
5902,1387990500,1387990920,inactive
5903,1387990140,1387990500,light_activity
5904,1387989900,1387990140,inactive
5905,1387989420,1387989900,light_activity
5906,1387942860,1387989420,off_wrist
5907,1388126100,1388159580,sleep
5908,1388125560,1388126100,light_activity
5909,1388122980,1388125560,inactive
5910,1388122680,1388122980,light_activity
5911,1388122260,1388122680,inactive
5912,1388122200,1388122260,light_activity
5913,1388121900,1388122200,inactive
5914,1388121840,1388121900,light_activity
5915,1388121420,1388121840,inactive
5916,1388121120,1388121420,light_activity
5917,1388120940,1388121120,inactive
5918,1388120880,1388120940,light_activity
5919,1388120640,1388120880,inactive
5920,1388120460,1388120640,light_activity
5921,1388119620,1388120460,inactive
5922,1388119440,1388119620,light_activity
5923,1388119140,1388119440,inactive
5924,1388119020,1388119140,light_activity
5925,1388118780,1388119020,inactive
5926,1388118480,1388118780,light_activity
5927,1388117340,1388118480,inactive
5928,1388117220,1388117340,light_activity
5929,1388116380,1388117220,inactive
5930,1388116200,1388116380,light_activity
5931,1388115840,1388116200,inactive
5932,1388115780,1388115840,light_activity
5933,1388115600,1388115780,inactive
5934,1388115240,1388115600,light_activity
5935,1388114880,1388115240,inactive
5936,1388114580,1388114880,light_activity
5937,1388114340,1388114580,inactive
5938,1388114280,1388114340,light_activity
5939,1388113800,1388114280,inactive
5940,1388113020,1388113800,light_activity
5941,1388112240,1388113020,inactive
5942,1388111940,1388112240,light_activity
5943,1388111580,1388111940,inactive
5944,1388111460,1388111580,light_activity
5945,1388110320,1388111460,inactive
5946,1388110260,1388110320,light_activity
5947,1388109300,1388110260,inactive
5948,1388109180,1388109300,light_activity
5949,1388108700,1388109180,inactive
5950,1388108640,1388108700,light_activity
5951,1388108340,1388108640,inactive
5952,1388108040,1388108340,light_activity
5953,1388107800,1388108040,inactive
5954,1388107740,1388107800,light_activity
5955,1388106360,1388107740,inactive
5956,1388106240,1388106360,light_activity
5957,1388105340,1388106240,moderate_activity
5958,1388104740,1388105340,light_activity
5959,1388104020,1388104740,moderate_activity
5960,1388102400,1388104020,light_activity
5961,1388102160,1388102400,inactive
5962,1388102040,1388102160,light_activity
5963,1388101200,1388102040,moderate_activity
5964,1388099700,1388101200,inactive
5965,1388098620,1388099700,light_activity
5966,1388098140,1388098620,inactive
5967,1388097660,1388098140,light_activity
5968,1388094480,1388097660,inactive
5969,1388093700,1388094480,light_activity
5970,1388093520,1388093700,inactive
5971,1388093460,1388093520,light_activity
5972,1388091720,1388093460,inactive
5973,1388091600,1388091720,light_activity
5974,1388091300,1388091600,inactive
